Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPTS_avg_5,APTS_avg_5,H_gd_5,A_gd_5,H_eff_5,A_eff_5,HST_avg_5,AST_avg_5,target,H_status,A_status,H_H2H,A_H2H
I1,23/10/05,Roma,Lazio,1,1,D,1,0,H,14,6,4,2,28,21,3,3,3,2,0,0,1.0,0.33,1.0,-5.0,0.24,0.14,8.33,2.33,1,,,,
I1,23/10/05,Sampdoria,Siena,3,3,D,1,0,H,11,15,8,8,20,23,5,2,2,5,1,0,2.0,1.33,1.0,-1.0,0.38,0.45,5.33,3.67,1,,,,
I1,23/10/05,Treviso,Empoli,1,2,A,0,1,A,17,10,6,4,19,17,10,3,1,2,0,0,0.0,0.33,-5.0,-2.0,0.0,0.18,2.67,3.67,2,,,,
I1,23/10/05,Udinese,Inter,0,1,A,0,1,A,9,17,4,10,20,20,1,8,2,3,0,0,2.0,1.0,3.0,-2.0,0.19,0.14,7.0,7.33,2,,,,
I1,26/10/05,Ascoli,Udinese,1,1,D,1,0,H,7,8,4,4,17,19,3,9,1,0,0,0,2.0,1.5,3.0,-2.0,0.35,0.24,5.0,6.25,1,,,,
I1,26/10/05,Cagliari,Livorno,1,1,D,0,0,D,14,5,5,3,16,25,8,2,2,3,0,0,0.75,1.0,-2.0,-5.0,0.11,0.23,4.75,3.25,1,,,,
I1,26/10/05,Empoli,Milan,1,3,A,1,1,D,8,16,4,8,13,13,5,10,0,1,0,0,2.25,1.75,0.0,3.0,0.45,0.25,2.75,6.0,2,,,,
I1,26/10/05,Inter,Roma,2,3,A,0,2,A,15,9,9,5,16,20,9,2,2,3,1,1,3.0,1.25,12.0,2.0,0.34,0.13,8.75,5.75,2,,,,
I1,26/10/05,Juventus,Sampdoria,2,0,H,1,0,H,14,12,9,4,24,25,3,7,0,2,0,0,3.0,1.5,5.0,3.0,0.21,0.33,7.25,6.0,0,,,,
I1,26/10/05,Lazio,Chievo,2,2,D,1,0,H,0,0,0,0,0,0,0,0,1,3,0,0,3.0,1.75,6.0,2.0,0.38,0.44,6.0,4.0,1,,,,
I1,26/10/05,Palermo,Lecce,3,0,H,1,0,H,10,12,4,5,13,16,2,7,3,3,1,0,2.0,0.0,2.0,-7.0,0.21,0.06,9.75,4.0,0,,,,
I1,26/10/05,Parma,Messina,1,1,D,1,0,H,11,14,5,8,15,22,4,3,1,4,0,0,1.25,0.25,0.0,-4.0,0.2,0.16,5.0,4.75,1,,,,
I1,26/10/05,Reggina,Treviso,1,2,A,0,1,A,10,5,5,3,14,20,8,3,1,3,0,0,1.5,0.5,-1.0,-5.0,0.22,0.18,5.75,2.75,2,,,,
I1,26/10/05,Siena,Fiorentina,0,2,A,0,1,A,13,8,7,4,12,21,8,2,5,1,0,0,1.5,1.0,1.0,0.0,0.45,0.23,5.0,5.5,2,,,,
I1,29/10/05,Milan,Juventus,3,1,H,3,0,H,7,4,4,3,26,26,6,2,2,3,0,0,3.0,3.0,6.0,9.0,0.25,0.38,9.0,6.5,0,,,,
